Time,ADC Value,Voltage
0.05015158653259277,0,0.0
0.1139225959777832,0,0.0
0.17807674407958984,0,0.0
0.24245667457580566,0,0.0
0.29354190826416016,0,0.0
0.3695964813232422,0,0.0
0.407792329788208,0,0.0
0.4726705551147461,0,0.0
0.5351865291595459,0,0.0
0.5980956554412842,0,0.0
0.6745173931121826,0,0.0
0.7234196662902832,0,0.0
0.8027956485748291,0,0.0
0.8665828704833984,0,0.0
0.9262893199920654,0,0.0
0.9921622276306152,0,0.0
1.0585153102874756,0,0.0
1.1058378219604492,0,0.0
1.1690678596496582,0,0.0
1.223442554473877,0,0.0
1.2896060943603516,0,0.0
1.361311674118042,0,0.0
1.423236608505249,0,0.0
1.4861862659454346,0,0.0
1.5486836433410645,0,0.0
1.6116366386413574,0,0.0
1.6745445728302002,0,0.0
1.7314667701721191,0,0.0
1.7882423400878906,0,0.0
1.8550949096679688,0,0.0
1.9180028438568115,50,0.16129032258064516
1.9809274673461914,107,0.34516129032258064
2.0434317588806152,190,0.6129032258064516
2.106363296508789,246,0.7935483870967742
2.1692841053009033,270,0.8709677419354838
2.231799602508545,269,0.8677419354838709
2.3073132038116455,268,0.8645161290322579
2.371570110321045,268,0.8645161290322579
2.4194579124450684,336,1.0838709677419354
2.4828739166259766,525,1.693548387096774
2.546940326690674,733,2.364516129032258
2.6115217208862305,831,2.680645161290322
2.675159454345703,837,2.7
2.7397310733795166,837,2.7
2.804065227508545,837,2.7
2.8675880432128906,833,2.6870967741935483
2.9313900470733643,853,2.7516129032258063
2.9950337409973145,1005,3.2419354838709675
3.059864044189453,1023,3.3
3.1086716651916504,1023,3.3
3.171489953994751,1023,3.3
3.2361018657684326,1023,3.3
3.299503803253174,1023,3.3
3.363590955734253,1023,3.3
3.4281396865844727,1023,3.3
3.4915833473205566,1023,3.3
3.5555801391601562,1023,3.3
3.6199681758880615,1023,3.3
3.684037685394287,806,2.5999999999999996
3.747661590576172,439,1.4161290322580644
3.796036958694458,359,1.1580645161290322
3.860260248184204,363,1.1709677419354838
3.9242143630981445,364,1.1741935483870967
3.9884912967681885,364,1.1741935483870967
4.052556276321411,364,1.1741935483870967
4.116251468658447,359,1.1580645161290322
4.17996072769165,348,1.12258064516129
4.244776487350464,174,0.561290322580645
4.308189392089844,0,0.0
4.372717380523682,0,0.0
4.422339200973511,0,0.0
4.469624996185303,0,0.0
4.547763347625732,0,0.0
4.610696077346802,0,0.0
4.67357325553894,0,0.0
4.736086130142212,0,0.0
4.7990477085113525,0,0.0
4.86464262008667,0,0.0
4.9251861572265625,0,0.0
4.9880077838897705,0,0.0
5.051687717437744,0,0.0
5.114637851715088,0,0.0
5.165038108825684,308,0.9935483870967742
5.224440574645996,547,1.764516129032258
5.288865804672241,550,1.7741935483870965
5.365189075469971,552,1.7806451612903225
5.423107147216797,551,1.7774193548387094
5.48934531211853,554,1.7870967741935482
5.551861763000488,548,1.7677419354838708
5.614764451980591,628,2.0258064516129033
5.67766547203064,702,2.2645161290322577
5.742516040802002,989,3.1903225806451614
5.8128297328948975,1023,3.3
5.8564605712890625,1023,3.3
5.92546820640564,1023,3.3
5.9751036167144775,1023,3.3
6.038378477096558,1023,3.3
6.10600471496582,1023,3.3
6.168919801712036,1023,3.3
6.231848478317261,1023,3.3
6.309835910797119,1023,3.3
6.373372554779053,1023,3.3
6.437678098678589,1023,3.3
6.501451730728149,1023,3.3
6.549570560455322,1023,3.3
6.613970994949341,1023,3.3
6.678091287612915,863,2.7838709677419353
6.7418975830078125,533,1.7193548387096773
6.806047677993774,485,1.564516129032258
6.870352506637573,488,1.5741935483870968
6.933463096618652,488,1.5741935483870968
6.9978766441345215,487,1.570967741935484
7.061690092086792,367,1.1838709677419355
7.1254987716674805,26,0.08387096774193549
7.190025806427002,0,0.0
7.238027334213257,0,0.0
7.302574157714844,0,0.0
7.366583824157715,0,0.0
7.429828405380249,0,0.0
7.4943602085113525,0,0.0
7.558369874954224,0,0.0
7.621884107589722,0,0.0
7.685806035995483,0,0.0
7.750441074371338,0,0.0
7.814746618270874,0,0.0
7.878555774688721,47,0.15161290322580645
7.926552772521973,260,0.8387096774193548
7.990626096725464,379,1.2225806451612902
8.054210186004639,379,1.2225806451612902
8.1187744140625,374,1.2064516129032257
8.182196140289307,373,1.2032258064516128
8.246893405914307,433,1.396774193548387
8.31095004081726,459,1.4806451612903224
8.374620199203491,480,1.5483870967741935
8.438739776611328,478,1.5419354838709676
8.502745628356934,476,1.5354838709677419
8.5663423538208,522,1.6838709677419355
8.615269184112549,891,2.8741935483870966
8.679000616073608,1023,3.3
8.7430100440979,1023,3.3
8.807215690612793,1023,3.3
8.870703220367432,1023,3.3
8.935059547424316,1023,3.3
8.99939775466919,1023,3.3
9.06334662437439,1023,3.3
9.127432346343994,1023,3.3
9.191894769668579,1023,3.3
9.255025863647461,1023,3.3
9.303182125091553,1023,3.3
9.36785888671875,1023,3.3
9.43123173713684,1023,3.3
9.495909929275513,1023,3.3
9.559657335281372,747,2.4096774193548387
9.623273611068726,519,1.6741935483870967
9.687304258346558,526,1.6967741935483869
9.751081228256226,524,1.6903225806451612
9.816061973571777,524,1.6903225806451612
9.87944769859314,518,1.6709677419354838
9.944165229797363,488,1.5741935483870968
9.991614580154419,367,1.1838709677419355
10.056195259094238,263,0.8483870967741934
